# Trajectories to test the save_data() function.
# Calculation scheme is force.
# Timestep is 180 seconds.
# Trajectories calculated for a 5 x 5 grid of parcels between41, -72 and 42, -71.
4.100000000000000000e+01 4.100000000000000000e+01 4.200000000000000000e+01 4.200000000000000000e+01
4.093226605046114486e+01 4.094820992872940479e+01 4.193994062335431749e+01 4.195425024415223447e+01
4.086452995278401090e+01 4.089641842836638119e+01 4.187987882621669655e+01 4.190849000502797850e+01
4.079679038152308834e+01 4.084462426698966908e+01 4.181981272146295936e+01 4.186271121669429363e+01
4.072904655222047410e+01 4.079282610033745016e+01 4.175974067567498338e+01 4.181690789033230971e+01
4.066129824746279553e+01 4.074102247407218869e+01 4.169966132606072051e+01 4.177107612938630155e+01
4.059354563813943884e+01 4.068921179368161489e+01 4.163957360699247090e+01 4.172521414731565415e+01
4.052578906714027340e+01 4.063739226540017313e+01 4.157947532407453650e+01 4.167932395597931361e+01
4.045802903823524588e+01 4.058556210223942884e+01 4.151936303776923154e+01 4.163341065876031166e+01
4.039026620193970274e+01 4.053371952852160121e+01 4.145923207299907887e+01 4.158747979065779532e+01
4.032250093465678731e+01 4.048186253485945230e+01 4.139907698573784245e+01 4.154153456953204682e+01
4.025473324586550206e+01 4.042998931331576529e+01 4.133889454462293855e+01 4.149557679347308436e+01
4.018696338799874468e+01 4.037809913406402273e+01 4.127868184932480489e+01 4.144960635965506413e+01
4.011919194562102575e+01 4.032619154431723985e+01 4.121843632348350894e+01 4.140361828675926148e+01
4.005141951687338064e+01 4.027426636745327215e+01 4.115815742537472488e+01 4.135760816964570807e+01
3.998364670390581921e+01 4.022232370207213847e+01 4.109784614668357250e+01 4.131157216381490116e+01
3.991587438044378899e+01 4.017036363737489069e+01 4.103750333987997578e+01 4.126550696986000588e+01
3.984810381535416468e+01 4.011838619014984886e+01 4.097712970299425450e+01 4.121940888249505974e+01
3.978033558655300084e+01 4.006639152400720860e+01 4.091672587956715290e+01 4.117327300422714842e+01
3.971256958830678485e+01 4.001437886929247867e+01 4.085629285048934634e+01 4.112709463162791934e+01
3.964480624427914535e+01 3.996234721908221843e+01 4.079583222542046173e+01 4.108086989595529559e+01
3.957704658482022353e+01 3.991029546851162024e+01 4.073534565756036585e+01 4.103459577070685782e+01
3.950929195460768284e+01 3.985822290600373208e+01 4.067483443437977542e+01 4.098827007981886084e+01
3.944154382751433019e+01 3.980612928061140821e+01 4.061429858377891833e+01 4.094189133620611898e+01
3.937380360583041039e+01 3.975401480086915740e+01 4.055373806914226265e+01 4.089545755321829290e+01
3.930607221029114129e+01 3.970188013359612000e+01 4.049315277632655352e+01 4.084896637809990239e+01
3.923835006168916806e+01 3.964972647060146471e+01 4.043254241379845837e+01 4.080241552949628669e+01
3.917063697560204361e+01 3.959755466717605543e+01 4.037190572058106852e+01 4.075580279722716170e+01
3.910293201202061653e+01 3.954536493209065640e+01 4.031124078932309374e+01 4.070912604226668208e+01
3.903523415316851697e+01 3.949315725086323425e+01 4.025054547298441321e+01 4.066238338386641971e+01
3.896754230049415213e+01 3.944093122857361777e+01 4.018981762115944179e+01 4.061557312381857798e+01
3.889985599409609307e+01 3.938868560541334318e+01 4.012905468986406277e+01 4.056869397648532782e+01
3.883217631229092603e+01 3.933641959696711154e+01 4.006825420914400127e+01 4.052174578431730367e+01
