# Calculation scheme is friction.
# Timestep is 40 seconds.
# Trajectories calculated for a 5 x 5 grid of parcels between 41, -72 and 42, -71.
4.100000000000000000e+01 4.100000000000000000e+01 4.200000000000000000e+01 4.200000000000000000e+01
4.098494806238912247e+01 4.098849115334079585e+01 4.198665352795951122e+01 4.198983345187631500e+01
4.096989608856102194e+01 4.097698227898165868e+01 4.197330701186090351e+01 4.197966674452860047e+01
4.095484405191407262e+01 4.096547336050855392e+01 4.195996041851476122e+01 4.196949973867008055e+01
4.093979192738569139e+01 4.095396438120891247e+01 4.194661371537788597e+01 4.195933230093240240e+01
4.092473969144152335e+01 4.094245532407359889e+01 4.193326687056260482e+01 4.194916430386545869e+01
4.090968732206462732e+01 4.093094617179900041e+01 4.191991985284616362e+01 4.193899562593787778e+01
4.089463479874474672e+01 4.091943690678905199e+01 4.190657263168011326e+01 4.192882615153819614e+01
4.087958210246754476e+01 4.090792751115728265e+01 4.189322517719978123e+01 4.191865577097666318e+01
4.086452921570386820e+01 4.089641796672886187e+01 4.187987746023373603e+01 4.190848438048768543e+01
4.084947612239908210e+01 4.088490825504270987e+01 4.186652945231332268e+01 4.189831188223280378e+01
4.083442280796234058e+01 4.087339835735350135e+01 4.185318112568221949e+01 4.188813818430428881e+01
4.081936925925596427e+01 4.086188825463381136e+01 4.183983245330605172e+01 4.187796320072915535e+01
4.080431546458475367e+01 4.085037792757614028e+01 4.182648340888201233e+01 4.186778685147377388e+01
4.078926141368535951e+01 4.083886735659504552e+01 4.181313396684855377e+01 4.185760906244883017e+01
4.077420709771564589e+01 4.082735652182921626e+01 4.179978410239508690e+01 4.184742976551477511e+01
4.075915250924408184e+01 4.081584540314359089e+01 4.178643379147175807e+01 4.183724889848761563e+01
4.074409764223913299e+01 4.080433398013143886e+01 4.177308301079922614e+01 4.182706640514513197e+01
4.072904249354365902e+01 4.079282223211652791e+01 4.175973173787850357e+01 4.181688223523334358e+01
4.071398706310143467e+01 4.078131013815519168e+01 4.174637995100081866e+01 4.180669634447331617e+01
4.069893135140747376e+01 4.076979767703849689e+01 4.173302763165056462e+01 4.179650869456823870e+01
4.068387535949151612e+01 4.075828482729438917e+01 4.171967476603006020e+01 4.178631925321071350e+01
4.066881908891120645e+01 4.074677156718978921e+01 4.170632133720246770e+01 4.177612799409028099e+01
4.065376254174521620e+01 4.073525787434725487e+01 4.169296732511131864e+01 4.176593489690105798e+01
4.063870572058636554e+01 4.072374372531598397e+01 4.167961270658815920e+01 4.175573994734962469e+01
4.062364862853471692e+01 4.071222909667631740e+01 4.166625745536019565e+01 4.174554313716291887e+01
4.060859126919066142e+01 4.070071396502381589e+01 4.165290154205786877e+01 4.173534448242026684e+01
4.059353364664797681e+01 4.068919830697208084e+01 4.163954493422232161e+01 4.172514402717747117e+01
4.057847576548688551e+01 4.067768209915560362e+01 4.162618759631285315e+01 4.171494181925319111e+01
4.056341763076710549e+01 4.066616531823261482e+01 4.161282948971427942e+01 4.170473791024548404e+01
4.054835924802082303e+01 4.065464794088794775e+01 4.159947057274426641e+01 4.169453235552934700e+01
4.053330062324573646e+01 4.064312994383585931e+01 4.158611080066050647e+01 4.168432521425419424e+01
4.051824176289802892e+01 4.063161130382292185e+01 4.157275012566790906e+01 4.167411654934132059e+01
4.050318267388530558e+01 4.062009199763085832e+01 4.155938849692570614e+01 4.166390642748115170e+01
4.048812336355958053e+01 4.060857200207941986e+01 4.154602586055444391e+01 4.165369491913052968e+01
4.047306384035138649e+01 4.059705129402927071e+01 4.153266215964292485e+01 4.164348209850984261e+01
4.045800411213489411e+01 4.058552985038481609e+01 4.151929733425509284e+01 4.163326802852489550e+01
4.044294418592438234e+01 4.057400764809710125e+01 4.150593132143680464e+01 4.162305276298523893e+01
4.042788406787746425e+01 4.056248466416668919e+01 4.149256405522252322e+01 4.161283635178678253e+01
4.041282376329662185e+01 4.055096087564654539e+01 4.147919546722376083e+01 4.160261884093473839e+01
4.039776327663070532e+01 4.053943625668457429e+01 4.146582548868941132e+01 4.159240027254675454e+01
4.038270261147646067e+01 4.052791077767164296e+01 4.145245405063739952e+01 4.158218068485627583e+01
4.036764177057999348e+01 4.051638440925813001e+01 4.143908109660308270e+01 4.157196011221596876e+01
4.035258075583819704e+01 4.050485712234517877e+01 4.142570658008058615e+01 4.156173858510144470e+01
4.033751956830023744e+01 4.049332888808915243e+01 4.141233045570678684e+01 4.155151613011504708e+01
4.032245820816894621e+01 4.048179968603947998e+01 4.139895267922731392e+01 4.154129276998980203e+01
4.030739667480222721e+01 4.047026950227661501e+01 4.138557320749222868e+01 4.153106852359351109e+01
4.029233497058253732e+01 4.045873832358221733e+01 4.137219199845166884e+01 4.152084340593297185e+01
4.027727309938874356e+01 4.044720613744232907e+01 4.135880901115156405e+01 4.151061742815829092e+01
4.026221106553225582e+01 4.043567293204647228e+01 4.134542420572933707e+01 4.150039059756730353e+01
4.024714887374939565e+01 4.042413869628681056e+01 4.133203754340954816e+01 4.149016291761009967e+01
4.023208652946858876e+01 4.041260341975722525e+01 4.131864898649965312e+01 4.147993433344727521e+01
4.021702403942941828e+01 4.040106709275249841e+01 4.130525849838569030e+01 4.146970478897703316e+01
4.020196141035322768e+01 4.038952970626743877e+01 4.129186604352797474e+01 4.145947422909976154e+01
4.018689864893482167e+01 4.037799125199606465e+01 4.127847158745682066e+01 4.144924259971080005e+01
4.017183576184635285e+01 4.036645172233072998e+01 4.126507509676820717e+01 4.143900984769253881e+01
4.015677275574125105e+01 4.035491111036135692e+01 4.125167653911949373e+01 4.142877592090643901e+01
4.014170963725810282e+01 4.034336940987455478e+01 4.123827588322509285e+01 4.141854076818516006e+01
4.012664641302453816e+01 4.033182661535287394e+01 4.122487313343785331e+01 4.140830433932467258e+01
4.011158308966110297e+01 4.032028272197394614e+01 4.121146829899806363e+01 4.139806658507644954e+01
4.009651967378509596e+01 4.030873772560974544e+01 4.119806138900946735e+01 4.138782745713957922e+01
4.008145617201447664e+01 4.029719162282575695e+01 4.118465241243076491e+01 4.137758690815304163e+01
4.006639259097163830e+01 4.028564441088022363e+01 4.117124137806676032e+01 4.136734489168792805e+01
4.005132893728729471e+01 4.027409608772336469e+01 4.115782829455950065e+01 4.135710136223975297e+01
4.003626521760428147e+01 4.026254665199660110e+01 4.114441317037937296e+01 4.134685627522073048e+01
4.002120143858137169e+01 4.025099610303183084e+01 4.113099601381617276e+01 4.133660958695216436e+01
4.000613760689708442e+01 4.023944444085063310e+01 4.111757683297009436e+01 4.132636125465683108e+01
3.999107372925346482e+01 4.022789166152002593e+01 4.110415563574276376e+01 4.131611123645140538e+01
3.997600981865654290e+01 4.021633776106442326e+01 4.109073242982812246e+01 4.130585949133897827e+01
3.996094589104475858e+01 4.020478273589668561e+01 4.107730722270343904e+01 4.129560597920150400e+01
3.994588196060902163e+01 4.019322658281834038e+01 4.106388002162010054e+01 4.128535065092425782e+01
3.993081803979875843e+01 4.018166929901915552e+01 4.105045083359450331e+01 4.127509345511183625e+01
3.991575413932616812e+01 4.017011088207679848e+01 4.103701966539885859e+01 4.126483434015379004e+01
3.990069026817040765e+01 4.015855132995640986e+01 4.102358652355194835e+01 4.125457325422937771e+01
3.988562643358180537e+01 4.014699064101023396e+01 4.101015141430988820e+01 4.124431014531754158e+01
3.987056264108606740e+01 4.013542881397727058e+01 4.099671434365682643e+01 4.123404495351200438e+01
3.985549889448837035e+01 4.012386584798291267e+01 4.098327531831451864e+01 4.122377761428376175e+01
3.984043519587761040e+01 4.011230174253858394e+01 4.096983434824162629e+01 4.121350806518379528e+01
3.982537154563044624e+01 4.010073649734109580e+01 4.095639144371063622e+01 4.120323624583021882e+01
3.981030794241549131e+01 4.008917010051860075e+01 4.094294661532026680e+01 4.119296209791172458e+01
3.979524438319736390e+01 4.007760253990791455e+01 4.092949987398660738e+01 4.118268556519100798e+01
3.978018086324080116e+01 4.006603380303813822e+01 4.091605123093424368e+01 4.117240659350829901e+01
3.976511737611469499e+01 4.005446387713108436e+01 4.090260070420344363e+01 4.116212513078492208e+01
3.975005391369613506e+01 4.004289274910161822e+01 4.088914831386730953e+01 4.115184112702691976e+01
3.973499046617448016e+01 4.003132040555808402e+01 4.087569408010884331e+01 4.114155453432871923e+01
3.971992704491005810e+01 4.001974683280266731e+01 4.086223802320725440e+01 4.113126530687683413e+01
3.970486366059759575e+01 4.000817201683180713e+01 4.084878016352891450e+01 4.112097340095363052e+01
3.968980032319117868e+01 3.999659594333652990e+01 4.083532052151838343e+01 4.111067877494114953e+01
3.967473704190674511e+01 3.998501859727380037e+01 4.082185911768932840e+01 4.110038138932496565e+01
3.965967382522465812e+01 3.997343996323369453e+01 4.080839597261541485e+01 4.109008120669806630e+01
3.964461068089220674e+01 3.996186002699882778e+01 4.079493110692123992e+01 4.107977819176480239e+01
3.962954761592612130e+01 3.995027877554218065e+01 4.078146454127318066e+01 4.106947231134487453e+01
3.961448463833724531e+01 3.993869619702567064e+01 4.076799629637021383e+01 4.105916353437735467e+01
3.959942175971853828e+01 3.992711228079873109e+01 4.075452639293479251e+01 4.104885183192475751e+01
3.958435899176036799e+01 3.991552701739687592e+01 4.074105485170358065e+01 4.103853717717715455e+01
