# Trajectories to test the save_data() function.
# Calculation scheme is force.
# Timestep is 180 seconds.
# Trajectories calculated for a 5 x 5 grid of parcels between41, -72 and 42, -71.
-7.100000000000000000e+01 -7.200000000000000000e+01 -7.100000000000000000e+01 -7.200000000000000000e+01
-7.097505649753182411e+01 -7.197079286511539920e+01 -7.097217293897806201e+01 -7.196729807223637465e+01
-7.095013450195403948e+01 -7.194160472181215482e+01 -7.094436239583554027e+01 -7.193459307086041576e+01
-7.092522932685986348e+01 -7.191243053482071446e+01 -7.091655791101311479e+01 -7.190186206237581246e+01
-7.090033702297188256e+01 -7.188326521922371626e+01 -7.088874953417212055e+01 -7.186908660065600429e+01
-7.087545499671855964e+01 -7.185410365863349114e+01 -7.086092783532384942e+01 -7.183625265091322376e+01
-7.085058264588447230e+01 -7.182494087451544829e+01 -7.083308561270285963e+01 -7.180335052081633762e+01
-7.082571983019390416e+01 -7.179577262741493371e+01 -7.080521581369552564e+01 -7.177037838797605218e+01
-7.080086684652768270e+01 -7.176659471273879376e+01 -7.077731117501477343e+01 -7.173733851569213016e+01
-7.077602410486754536e+01 -7.173740296386304749e+01 -7.074936425596459344e+01 -7.170423622742156056e+01
-7.075119210078729282e+01 -7.170819305771176744e+01 -7.072136579912421439e+01 -7.167108017900658012e+01
-7.072637154554200833e+01 -7.167896046403144794e+01 -7.069330463164811817e+01 -7.163787686156351242e+01
-7.070156368450085438e+01 -7.164970062634967007e+01 -7.066517110927351553e+01 -7.160463038544557435e+01
-7.067676863994765313e+01 -7.162040912000873050e+01 -7.063695707500070853e+01 -7.157134031312230604e+01
-7.065198641058124451e+01 -7.159108164773770966e+01 -7.060865741652125394e+01 -7.153800397303507452e+01
-7.062721694699165198e+01 -7.156171403524078301e+01 -7.058026945816098419e+01 -7.150461649258483021e+01
-7.060245968827183560e+01 -7.153230254038642499e+01 -7.055179133678554138e+01 -7.147117083008170368e+01
-7.057771250217651016e+01 -7.150284383322609472e+01 -7.052322197735681186e+01 -7.143765613218883459e+01
-7.055297305669613195e+01 -7.147333473385103275e+01 -7.049456162517286373e+01 -7.140406536100213941e+01
-7.052823881981322529e+01 -7.144377213588298048e+01 -7.046581204391812037e+01 -7.137039341030519779e+01
-7.050350687952978035e+01 -7.141415303923373870e+01 -7.043697585000579409e+01 -7.133663538581799912e+01
-7.047877398666079785e+01 -7.138447476970439709e+01 -7.040805550020871806e+01 -7.130278660231667232e+01
-7.045403607040475435e+01 -7.135473500841565908e+01 -7.037905335914528848e+01 -7.126884258104855974e+01
-7.042928877586803083e+01 -7.132493172322102737e+01 -7.034997188694208603e+01 -7.123479889531763831e+01
-7.040452758450261683e+01 -7.129506315399618188e+01 -7.032081338053751551e+01 -7.120065062474733963e+01
