# Trajectories to test the save_data() function.
# Calculation scheme is force.
# Timestep is 90 seconds.
# Trajectories calculated for a 5 x 5 grid of parcels between41, -72 and 42, -71.
-7.100000000000000000e+01 -7.200000000000000000e+01 -7.100000000000000000e+01 -7.200000000000000000e+01
-7.098752793012219797e+01 -7.198539618823497221e+01 -7.098608617721643554e+01 -7.198364881287764661e+01
-7.097506188939179594e+01 -7.197079774452495826e+01 -7.097217783452997253e+01 -7.196730015289057292e+01
-7.096260122208543919e+01 -7.195620404616973076e+01 -7.095827361889277540e+01 -7.195095073070569924e+01
-7.095014531990989326e+01 -7.194161446624458733e+01 -7.094437220834986135e+01 -7.193459754231616898e+01
-7.093769362125485145e+01 -7.192702837417640183e+01 -7.093047231237993344e+01 -7.191823786629164772e+01
-7.092524561046000997e+01 -7.191244513631612278e+01 -7.091657267223833117e+01 -7.190186926119199029e+01
-7.091280081709604133e+01 -7.189786411650790399e+01 -7.090267206130178579e+01 -7.188548956312669702e+01
-7.090035881525847117e+01 -7.188328467665503752e+01 -7.088876928541537836e+01 -7.186909688344246661e+01
-7.088791938323547015e+01 -7.186870617728284572e+01 -7.087486318324140200e+01 -7.185268960652240366e+01
-7.087548243106286350e+01 -7.185412797809843255e+01 -7.086095281429109605e+01 -7.183626638767984218e+01
-7.086304789838760598e+01 -7.183954947637360533e+01 -7.084703732019747235e+01 -7.181982615113089707e+01
-7.085061575367531361e+01 -7.182497014202468222e+01 -7.083311582754492974e+01 -7.180336816580181392e+01
-7.083818599343625522e+01 -7.181038944707599114e+01 -7.081918744894824158e+01 -7.178689270817400825e+01
-7.082575864145825051e+01 -7.179580686571750903e+01 -7.080525128410727120e+01 -7.177040005788695964e+01
-7.081333374804654568e+01 -7.178122187440997948e+01 -7.079130642084952285e+01 -7.175389049794459595e+01
-7.080091137589397476e+01 -7.176663395198846729e+01 -7.077735193616091181e+01 -7.173736431482760167e+01
-7.078849156451892100e+01 -7.175204257976464817e+01 -7.076338689720462582e+01 -7.172082254714089800e+01
-7.077607436860539281e+01 -7.173744724162772002e+01 -7.074941025421821905e+01 -7.170426634346353012e+01
-7.076365985719331775e+01 -7.172284737486724282e+01 -7.073542074855073736e+01 -7.168769671641604191e+01
-7.075124811286161730e+01 -7.170824242068546539e+01 -7.072141693696022458e+01 -7.167111454365866052e+01
-7.073883923091464965e+01 -7.169363180755897247e+01 -7.070739747306708978e+01 -7.165452056884956278e+01
-7.072643336399632119e+01 -7.167901496233344005e+01 -7.069336110587968847e+01 -7.163791540261800606e+01
