# Calculation scheme is friction.
# Timestep is 50 seconds.
# Trajectories calculated for a 5 x 5 grid of parcels between 41, -72 and 42, -71.
-7.100000000000000000e+01 -7.200000000000000000e+01 -7.100000000000000000e+01 -7.200000000000000000e+01
-7.099307099646955521e+01 -7.199188671426963992e+01 -7.099227002947050380e+01 -7.199091595578384783e+01
-7.098614395690727008e+01 -7.198377517639099210e+01 -7.098454194815779772e+01 -7.198183320726826651e+01
-7.097921876924399953e+01 -7.197566528350053261e+01 -7.097681552708216657e+01 -7.197275118871920085e+01
-7.097229532554723619e+01 -7.196755693240589835e+01 -7.096909054006354722e+01 -7.196366936025215466e+01
-7.096537352198373583e+01 -7.195945001961617038e+01 -7.096136676373474472e+01 -7.195458720766718841e+01
-7.095845325878272547e+01 -7.195134444137198670e+01 -7.095364397755483310e+01 -7.194550424228910401e+01
-7.095153444019939570e+01 -7.194324009367547035e+01 -7.094592196382248517e+01 -7.193642000081273125e+01
-7.094461697447886195e+01 -7.193513687232014320e+01 -7.093820050768941599e+01 -7.192733404515277584e+01
-7.093770077382062311e+01 -7.192703467292065511e+01 -7.093047939717379791e+01 -7.191824596229827193e+01
-7.093078575434331867e+01 -7.191893339094245619e+01 -7.092275842317380352e+01 -7.190915536417101350e+01
-7.092387183604988365e+01 -7.191083292173131269e+01 -7.091503737948100650e+01 -7.190006188748809279e+01
-7.091695894279320100e+01 -7.190273316054275199e+01 -7.090731606279410926e+01 -7.189096519362786353e+01
-7.091004700224199553e+01 -7.189463400257139369e+01 -7.089959427273242909e+01 -7.188186496849941420e+01
-7.090313594584718260e+01 -7.188653534298016723e+01 -7.089187181184954056e+01 -7.187276092241513936e+01
-7.089622574035600167e+01 -7.187843707692942985e+01 -7.088414848564701742e+01 -7.186365278996605355e+01
-7.088931636808594305e+01 -7.187033909960601363e+01 -7.087642410340713184e+01 -7.185454032989990480e+01
-7.088240781407887425e+01 -7.186224130625215878e+01 -7.086869852331639663e+01 -7.184542332500147666e+01
-7.087550006605839314e+01 -7.185414359219429059e+01 -7.086097160308528942e+01 -7.183630158197513538e+01
-7.086859311439025078e+01 -7.184604586489602696e+01 -7.085324320001501519e+01 -7.182717493132921049e+01
-7.086168695204283097e+01 -7.183794803926197403e+01 -7.084551317105189128e+01 -7.181804322726198109e+01
-7.085478157454794257e+01 -7.182985003041562777e+01 -7.083778137284170384e+01 -7.180890640096100697e+01
-7.084787697996186751e+01 -7.182175175369528120e+01 -7.083004766178349598e+01 -7.179976449005617667e+01
-7.084097316882653672e+01 -7.181365312465837292e+01 -7.082231189408319949e+01 -7.179061753116749856e+01
-7.083407014413107561e+01 -7.180555405908592093e+01 -7.081457392580681187e+01 -7.178146555993586730e+01
-7.082716791127337785e+01 -7.179745447298684269e+01 -7.080683361293337441e+01 -7.177230861103001303e+01
