# Trajectories to test the save_data() function.
# Calculation scheme is grid.
# Timestep is 120 seconds.
# Trajectories calculated for a 5 x 5 grid of parcels between41, -72 and 42, -71.
-7.100000000000000000e+01 -7.200000000000000000e+01 -7.100000000000000000e+01 -7.200000000000000000e+01
-7.096251677779464728e+01 -7.196406503468615767e+01 -7.096150286766587101e+01 -7.196089926819087168e+01
-7.092518083095821169e+01 -7.192823282180786748e+01 -7.092316451300131064e+01 -7.192191113006916225e+01
-7.088798297652314773e+01 -7.189250467392083976e+01 -7.088497544434939357e+01 -7.188303716357343376e+01
-7.085091399665762424e+01 -7.185688162346593799e+01 -7.084692619035445205e+01 -7.184427917312314094e+01
-7.081396463943151787e+01 -7.182136442308842561e+01 -7.080900729700663021e+01 -7.180563919003739670e+01
-7.077713917130043342e+01 -7.178595354617009150e+01 -7.077120932429846789e+01 -7.176711947282825577e+01
-7.074045007749725755e+01 -7.175064999518025388e+01 -7.073352737282613134e+01 -7.172872308788198836e+01
-7.070391604871427660e+01 -7.171545518859896617e+01 -7.069596244740576196e+01 -7.169044491235581518e+01
-7.066755128592882329e+01 -7.168037020018670091e+01 -7.065851133246945892e+01 -7.165227479857803417e+01
-7.063135359248394707e+01 -7.164539599234261402e+01 -7.062116533292194731e+01 -7.161420674250815921e+01
-7.059533685210818987e+01 -7.161053349020603775e+01 -7.058392607075309400e+01 -7.157623494574764322e+01
-7.055951199969267407e+01 -7.157578358174131949e+01 -7.054679792675764816e+01 -7.153835381616023881e+01
-7.052386941542719967e+01 -7.154114711777334890e+01 -7.050977521003947857e+01 -7.150056906878465668e+01
-7.048840154065776176e+01 -7.150662486136808127e+01 -7.047286147748916108e+01 -7.146290544593092875e+01
-7.045310784077437916e+01 -7.147220966049287938e+01 -7.043606741321734432e+01 -7.142537575298437957e+01
-7.041799084575633572e+01 -7.143789253119655314e+01 -7.039941246698491284e+01 -7.138797297862075197e+01
-7.038304949976676994e+01 -7.140367235161700421e+01 -7.036291090598926701e+01 -7.135068984258924729e+01
-7.034827983929747575e+01 -7.136954984351731923e+01 -7.032655597539621795e+01 -7.131352072862128466e+01
-7.031367763286519335e+01 -7.133552570313915453e+01 -7.029033870489210756e+01 -7.127647077564259348e+01
-7.027923930003892394e+01 -7.130160062315161440e+01 -7.025425142778362897e+01 -7.123954699611948627e+01
-7.024496706921267730e+01 -7.126777526329135526e+01 -7.021830592886630029e+01 -7.120275292876507933e+01
-7.021087905656987971e+01 -7.123405365185629989e+01 -7.018251673914397770e+01 -7.116608852127554030e+01
-7.017698395835034830e+01 -7.120044338300397158e+01 -7.014688212896845698e+01 -7.112954643840687652e+01
-7.014327008921031847e+01 -7.116694328798318736e+01 -7.011139942908434364e+01 -7.109312446815941655e+01
-7.010972318810915738e+01 -7.113354426746768411e+01 -7.007607073581679913e+01 -7.105682454714505525e+01
-7.007632719515572717e+01 -7.110024255737981491e+01 -7.004090472130164358e+01 -7.102064315190541777e+01
-7.004306840435756953e+01 -7.106703858200631885e+01 -7.000590367600982233e+01 -7.098457545527628554e+01
-7.000993462917406873e+01 -7.103393274334038665e+01 -6.997107301552833292e+01 -7.094862053368100874e+01
-6.997692006289871358e+01 -7.100092542121821282e+01 -6.993641958612735721e+01 -7.091277553293987523e+01
-6.994401666665808648e+01 -7.096801581938908043e+01 -6.990194453874481439e+01 -7.087704751961527450e+01
-6.991121078425862834e+01 -7.093520033650464995e+01 -6.986764710975704418e+01 -7.084144353512776604e+01
-6.987849163829640986e+01 -7.090247382409270926e+01 -6.983351877771484340e+01 -7.080595818379825346e+01
-6.984584848379871858e+01 -7.086983133807011370e+01 -6.979954927980227808e+01 -7.077058631441514081e+01
-6.981327608111652694e+01 -7.083726814547726747e+01 -6.976573093029993800e+01 -7.073533076950897680e+01
-6.978077821175287454e+01 -7.080477859143378794e+01 -6.973206617553442754e+01 -7.070021714608617458e+01
-6.974835749533627904e+01 -7.077235832562577400e+01 -6.969855590996986905e+01 -7.066526428102504553e+01
-6.971601433533358261e+01 -7.074001045091023343e+01 -6.966518918355393453e+01 -7.063046567111524610e+01
-6.968374244021863717e+01 -7.070774657274910169e+01 -6.963195237064260823e+01 -7.059581132844161289e+01
-6.965151610648737801e+01 -7.067557178531846773e+01 -6.959883236738954793e+01 -7.056129127044961535e+01
-6.961931452249527297e+01 -7.064348133547365194e+01 -6.956582022111641095e+01 -7.052689872932506887e+01
-6.958713221655052905e+01 -7.061147068521346171e+01 -6.953291109962243866e+01 -7.049263291168946921e+01
-6.955496368462627288e+01 -7.057953550451576064e+01 -6.950010063010222439e+01 -7.045849969220432740e+01
-6.952280715866758953e+01 -7.054767168254535648e+01 -6.946738160415945629e+01 -7.042450112604959145e+01
-6.949066858074790787e+01 -7.051587532913818279e+01 -6.943473920934370369e+01 -7.039063134169930436e+01
-6.945856188808633647e+01 -7.048414497726209049e+01 -6.940215970190399730e+01 -7.035688620675834670e+01
-6.942649547696579759e+01 -7.045248113152179315e+01 -6.936963496504694149e+01 -7.032326494557557339e+01
-6.939446823764427563e+01 -7.042088171897678706e+01 -6.933715662976689487e+01 -7.028976676153155267e+01
-6.936247839233254808e+01 -7.038934254215482156e+01 -6.930472384642182249e+01 -7.025638936636963194e+01
-6.933052031431166995e+01 -7.035785962868574472e+01 -6.927233661798601361e+01 -7.022313813333821031e+01
-6.929858541180057330e+01 -7.032642923108377886e+01 -6.923999208576915976e+01 -7.019001254994293504e+01
-6.926666510805871724e+01 -7.029504091548328404e+01 -6.920769691383748068e+01 -7.015699602376471944e+01
-6.923476853175309031e+01 -7.026368334693520978e+01 -6.917544925462229344e+01 -7.012407330542507111e+01
-6.920291515138964655e+01 -7.023235302441656813e+01 -6.914323448936289651e+01 -7.009123306206429049e+01
-6.917110650255955306e+01 -7.020104811158968516e+01 -6.911104207663693444e+01 -7.005846397456339503e+01
-6.913933361261524624e+01 -7.016976541754145558e+01 -6.907886410435510527e+01 -7.002575602226256990e+01
-6.910759112361667178e+01 -7.013850550370797521e+01 -6.904669627397599641e+01 -6.999310401639489498e+01
-6.907588191184137827e+01 -7.010727160660148627e+01 -6.901454475937008226e+01 -6.996050876981635724e+01
-6.904420928129246704e+01 -7.007606403355208613e+01 -6.898242335014502657e+01 -6.992796690074045785e+01
-6.901257235819501545e+01 -7.004488238774167996e+01 -6.895034313641326662e+01 -6.989546835710791584e+01
