# Calculation scheme is friction.
# Timestep is 180 seconds.
# Trajectories calculated for a 5 x 5 grid of parcels between 41, -72 and 42, -71.
1.164900402222460762e+01 1.364000952714517467e+01 1.279638847526132572e+01 1.503796224499763134e+01
1.164839151575255727e+01 1.363953283550105766e+01 1.279583191791034835e+01 1.503752927577862764e+01
1.165016186434105094e+01 1.364127703269276459e+01 1.280014666795178258e+01 1.504908541692152646e+01
1.165400094579757351e+01 1.364527007958885640e+01 1.280912827483511762e+01 1.507067389083966269e+01
1.165960346194915509e+01 1.365153154468536556e+01 1.282256759740305796e+01 1.510037363905733443e+01
1.166637460502197143e+01 1.366007268210241321e+01 1.284025074869057548e+01 1.513629534652494257e+01
1.167340760154260337e+01 1.367082336825719757e+01 1.286117557419466095e+01 1.517657839087094196e+01
1.168049725871454569e+01 1.368342741696462994e+01 1.288520759649517977e+01 1.521783230880461524e+01
1.168744861568687909e+01 1.369787209677562245e+01 1.291237116907304383e+01 1.525836940417450549e+01
1.169421780584285742e+01 1.371414337779392056e+01 1.294267612659966105e+01 1.529680983357043900e+01
1.170074608516586778e+01 1.373230241389683215e+01 1.297692281691792182e+01 1.533145224001897589e+01
1.170690716933586017e+01 1.375246338147252523e+01 1.301615031681623158e+01 1.536320291959428275e+01
1.171246424173407696e+01 1.377471231085702996e+01 1.305968000728341138e+01 1.539304512141895742e+01
1.171796918505413920e+01 1.379900833231503299e+01 1.310684974191828900e+01 1.542276953729440692e+01
1.172348087746480161e+01 1.382531247984526779e+01 1.315637542985486519e+01 1.545345164917834246e+01
1.172902240088141923e+01 1.385358766086741866e+01 1.320722935419620825e+01 1.548615267318820443e+01
1.173485567946921471e+01 1.388363069958239748e+01 1.325902570136615211e+01 1.552191989218703227e+01
1.174175192269883539e+01 1.391524539673615735e+01 1.331138805600160069e+01 1.556248640359877200e+01
1.174976238316061128e+01 1.394837261345227830e+01 1.336369040179272361e+01 1.560598406839209673e+01
1.175893917398212629e+01 1.398291828248035884e+01 1.341525503246716866e+01 1.565156375642045461e+01
1.176950156634408629e+01 1.401881835349904648e+01 1.346571709199987055e+01 1.569918416764420677e+01
1.178165281121278340e+01 1.405591284757966264e+01 1.351515165514826933e+01 1.574880546745141174e+01
1.179580746446587369e+01 1.409406190334939524e+01 1.356357129578218590e+01 1.580038926979634795e+01
1.181211514095972959e+01 1.413316139302370189e+01 1.361085082632984111e+01 1.585396544745550074e+01
1.183065363101584744e+01 1.417311378486429163e+01 1.365706044495103555e+01 1.590972199307780066e+01
1.185146582622552458e+01 1.421382809075982578e+01 1.370227353204129273e+01 1.596765639995085806e+01
1.187458483205221782e+01 1.425529360780680932e+01 1.374665347574120489e+01 1.602761034732305845e+01
1.189993738848624361e+01 1.429742132284884093e+01 1.379084025037327876e+01 1.608942590877019185e+01
1.192708618277314514e+01 1.434010444935689677e+01 1.383518827728700273e+01 1.615294547357761701e+01
1.195603970335924870e+01 1.438333197452912060e+01 1.388010550049137315e+01 1.621761231257431746e+01
1.198680621174106520e+01 1.442703929476416214e+01 1.392583494563174185e+01 1.628321199632862104e+01
1.201912602838938326e+01 1.447096110730067586e+01 1.397322646806320989e+01 1.634954422672092988e+01
1.205274339328345334e+01 1.451514551504475214e+01 1.402239923137924293e+01 1.641626373318612764e+01
1.208759438802939101e+01 1.455963638432896801e+01 1.407346191432620941e+01 1.648321817803626033e+01
1.212358969393080699e+01 1.460447327867120748e+01 1.412651280168221213e+01 1.655036763672638500e+01
1.216007000591823584e+01 1.464971006482744542e+01 1.418205394405477016e+01 1.661770493546413974e+01
1.219674892620084705e+01 1.469550830979138212e+01 1.424013854568053361e+01 1.668518119772207342e+01
1.223347304026416182e+01 1.474194060594744826e+01 1.430089178557324203e+01 1.675275884766196555e+01
1.227002228652521865e+01 1.478907239995094969e+01 1.436430719345921148e+01 1.682041291509460734e+01
1.230572424576580559e+01 1.483696198536089028e+01 1.443050273105455794e+01 1.688826220406964751e+01
1.234041996602209679e+01 1.488557301974739744e+01 1.449943415581719997e+01 1.695646660715499721e+01
1.237394626782569063e+01 1.493494103892217773e+01 1.457102473624300032e+01 1.702507788782692444e+01
1.240623895757581607e+01 1.498516034386364026e+01 1.464519247515582379e+01 1.709415336030154720e+01
1.243734930113047810e+01 1.503634342454471806e+01 1.472134644304244411e+01 1.716375597215200344e+01
1.246717905692762507e+01 1.508875963474532966e+01 1.479918426001507648e+01 1.723400402774331042e+01
1.249563313697986189e+01 1.514225502092185138e+01 1.487828987260766311e+01 1.730539430779031562e+01
1.252320862829393988e+01 1.519677132708224754e+01 1.495853622732035859e+01 1.737846862370327372e+01
1.255014654995487078e+01 1.525226099242546951e+01 1.503930434986674314e+01 1.745330825048103307e+01
1.257647655705227052e+01 1.530866693089645736e+01 1.512029934024186062e+01 1.752999114683381521e+01
1.260224909583210895e+01 1.536592602887374248e+01 1.520143602748278688e+01 1.760859202513574218e+01
1.262839240483963721e+01 1.542400251519297072e+01 1.528263675235971952e+01 1.768919718003398600e+01
1.265510381559070296e+01 1.548283343967950287e+01 1.536323750306667435e+01 1.777191979569825975e+01
