# Trajectories to test the save_data() function.
# Calculation scheme is grid.
# Timestep is 100 seconds.
# Trajectories calculated for a 5 x 5 grid of parcels between41, -72 and 42, -71.
1.164900402222460762e+01 1.364000952714517467e+01 1.279638847526132572e+01 1.503796224499763134e+01
2.626354395705691047e+01 2.517677479903414905e+01 2.656101861175849876e+01 2.697497439742288350e+01
2.619272276826458778e+01 2.512971415726101299e+01 2.648538565780913956e+01 2.692451375055626528e+01
2.612632678586620472e+01 2.508197178786244308e+01 2.641425628457745489e+01 2.687331211539127551e+01
2.606437560668336673e+01 2.503365829176708246e+01 2.634762911462808432e+01 2.682127700606453402e+01
2.600688871763425425e+01 2.498488446437606569e+01 2.628550384812649554e+01 2.676831558340803241e+01
2.595388556295129234e+01 2.493576123601526362e+01 2.622788131466919026e+01 2.671433468642768361e+01
2.589763617914492499e+01 2.488639961593393934e+01 2.617476363432421849e+01 2.665924086558227302e+01
2.583681690636095496e+01 2.483659040224758030e+01 2.612540762124782390e+01 2.660140816614433845e+01
2.576593365167975591e+01 2.478604452846749240e+01 2.607457906612029674e+01 2.654570551614849450e+01
2.568331335933778803e+01 2.473486568312256750e+01 2.602291759783862091e+01 2.649582092980206482e+01
2.560043944019192352e+01 2.468318602102832671e+01 2.597550319136126262e+01 2.644887629419945085e+01
2.551860164013830001e+01 2.463101898761350483e+01 2.593222437656391932e+01 2.640479301252693745e+01
2.542823943820943455e+01 2.457837803029219259e+01 2.588746464597825891e+01 2.636349217655347843e+01
2.533049895936593288e+01 2.452527657877002554e+01 2.583933462710320583e+01 2.632489454131113860e+01
2.523711234293559613e+01 2.447172808077674233e+01 2.579338816610376384e+01 2.628570669682047622e+01
2.514896767623857343e+01 2.441775930965480512e+01 2.575068935376910417e+01 2.623764508572594067e+01
2.506256448088625532e+01 2.436339383975635542e+01 2.570242871383254624e+01 2.617797087856072480e+01
2.497528031532570481e+01 2.431420036965261033e+01 2.564768567057467763e+01 2.611532603436231881e+01
2.488708507855038832e+01 2.427034534854846370e+01 2.558373612028788102e+01 2.605616058899868648e+01
2.479890206525895380e+01 2.422628023000206809e+01 2.551072214305301600e+01 2.600048541882993902e+01
2.471254045380825204e+01 2.418183487897402983e+01 2.544041621880587201e+01 2.594831200660120629e+01
2.462811330020407041e+01 2.413702095965886230e+01 2.537446474583325795e+01 2.589564825304041662e+01
2.454573335328760209e+01 2.409184030085745576e+01 2.531274804577663318e+01 2.583914723573368377e+01
2.446486054036916968e+01 2.404629936474609053e+01 2.525444868482995631e+01 2.578050264474125086e+01
2.438409959447100306e+01 2.400041106625242548e+01 2.518864946077128764e+01 2.571917323889193341e+01
2.429189817518085448e+01 2.395347403243435025e+01 2.511401152944700499e+01 2.565748442049601152e+01
2.419117152145565086e+01 2.390201668451247485e+01 2.503992228315712865e+01 2.559932217978359148e+01
2.409579809540632311e+01 2.384685737846475462e+01 2.496705205703256425e+01 2.554470165653199487e+01
2.400608251349012434e+01 2.379634666463511294e+01 2.489539926729259989e+01 2.548892857856365879e+01
2.392389920918112978e+01 2.375119853783860080e+01 2.482161560992800986e+01 2.543128980475360024e+01
2.385000845957858928e+01 2.370655804390483468e+01 2.474233440555753560e+01 2.537664352529572653e+01
2.378267638674728701e+01 2.366167182497704857e+01 2.466167788485323342e+01 2.532534403416728708e+01
2.372131575097559875e+01 2.361654806343559443e+01 2.458059637400943842e+01 2.527372138564022919e+01
2.366573852021205226e+01 2.357119491943220169e+01 2.449453175283405670e+01 2.522237264588305550e+01
2.361132919726090762e+01 2.352561962243999005e+01 2.440703619571076644e+01 2.517238182810538660e+01
2.356057767413177118e+01 2.348065380216874942e+01 2.431867003774665648e+01 2.511733560072727300e+01
2.351777112733132569e+01 2.343769119436540294e+01 2.422982584403816730e+01 2.505928419174752264e+01
2.348027926530435394e+01 2.339725924358462095e+01 2.414568569724736946e+01 2.500383696565713620e+01
2.344809854724437059e+01 2.335927439321233123e+01 2.406651882139096799e+01 2.495089823490589254e+01
2.342122766042390936e+01 2.332365302292801346e+01 2.399219318243116561e+01 2.490037230606969132e+01
2.339419647050247875e+01 2.329031142783067310e+01 2.391984693097595738e+01 2.484454525483223364e+01
2.336360053477508814e+01 2.325997855541771742e+01 2.384472772621789005e+01 2.477175608832704512e+01
2.333291100629120507e+01 2.323188375933314376e+01 2.376934466948965152e+01 2.469030487303916743e+01
2.330128462832289671e+01 2.320412671887442357e+01 2.369935167534482900e+01 2.461313992804152306e+01
2.327133959774360150e+01 2.316903415321692705e+01 2.363598957165550729e+01 2.454081006904118212e+01
2.325124416030148211e+01 2.312757151028404934e+01 2.357928307488271003e+01 2.447332027395889398e+01
2.324438772806155029e+01 2.308824320603209657e+01 2.352850564120750221e+01 2.441067662076499545e+01
2.324544954439168976e+01 2.305122098821539467e+01 2.348136470577181356e+01 2.435061151632684329e+01
2.324914606026628405e+01 2.301641956062979588e+01 2.343633332523462443e+01 2.429102238144151471e+01
2.325559170235710837e+01 2.298375507836604825e+01 2.339340841159595641e+01 2.422762157860059062e+01
2.326473011182724804e+01 2.295313883720004355e+01 2.335244442052736247e+01 2.416143014920560717e+01
2.327229252615026311e+01 2.292448197206577731e+01 2.331810909089318784e+01 2.409801720869277730e+01
2.327352171600754005e+01 2.289769546819067259e+01 2.329249980049063140e+01 2.403748552325520649e+01
2.326773394805664097e+01 2.287111185710158168e+01 2.327186743213474784e+01 2.397853350615123702e+01
2.325872252434351495e+01 2.284381168806537943e+01 2.325524239648095914e+01 2.391947400487843822e+01
2.325034171137728478e+01 2.281758038899869945e+01 2.324273866391637711e+01 2.386073656037528679e+01
2.324229130308943780e+01 2.279345310491925147e+01 2.323192524119572511e+01 2.380307240171531191e+01
2.323608133400196252e+01 2.277133898663818456e+01 2.322037068159092144e+01 2.374540265531966554e+01
2.323385728323968635e+01 2.275114712742699297e+01 2.321041378548693501e+01 2.368357880279098282e+01
2.323595501261597107e+01 2.273278654259936715e+01 2.320117728459895545e+01 2.362349352950372605e+01
2.324237782197453583e+01 2.272025536143181768e+01 2.318718862359414601e+01 2.357345525795538066e+01
2.324711653066601968e+01 2.271410263241580196e+01 2.317279879821246169e+01 2.353087370786470700e+01
2.323908958018452608e+01 2.271046096214016075e+01 2.316635729943817523e+01 2.349387194569498405e+01
2.322442669410556704e+01 2.270749598736413333e+01 2.316661470512342191e+01 2.346245320467766504e+01
2.321428136475820381e+01 2.270524706585022301e+01 2.317073712117206696e+01 2.343662265945647505e+01
2.320864864316484244e+01 2.270519840034216230e+01 2.317884239585516326e+01 2.341546572085381328e+01
2.320606059504390117e+01 2.270455619677986192e+01 2.318975587924827408e+01 2.339711086759757563e+01
2.320140700327979388e+01 2.270181784435858674e+01 2.319666298327355136e+01 2.337736943610149609e+01
2.319411463939593432e+01 2.269876093046723753e+01 2.319863708182268880e+01 2.335780569098652393e+01
2.318724289435497710e+01 2.269590142384704734e+01 2.319275225596478407e+01 2.334323277319819567e+01
2.318078712880773651e+01 2.269323660219827588e+01 2.318095582468559002e+01 2.333365777900595361e+01
2.317186001731205991e+01 2.269076365397466333e+01 2.317310345465685373e+01 2.332505171282423362e+01
2.316777371900841587e+01 2.268769534573516822e+01 2.317269551240367065e+01 2.331497884912584340e+01
2.317141257844773605e+01 2.268320770753565085e+01 2.317816542154522352e+01 2.330560926211473571e+01
2.317549347539048910e+01 2.267818054547084472e+01 2.318485545001609438e+01 2.329749761224852378e+01
2.318001394687304639e+01 2.267353462838106992e+01 2.319276487398894204e+01 2.329064433888374097e+01
2.318497151626266373e+01 2.266926775483376133e+01 2.320189302124397557e+01 2.328561640615201611e+01
2.318692280142632356e+01 2.266537760215220487e+01 2.321439802456159640e+01 2.328800286121911256e+01
2.318821200368783764e+01 2.266125684173483279e+01 2.322927709065146828e+01 2.329833680282198571e+01
2.319487246403696901e+01 2.265721504976649570e+01 2.324350278425749394e+01 2.331220194550520830e+01
2.320603021360184215e+01 2.265431530324849518e+01 2.325899772834800672e+01 2.332971428175056161e+01
2.321612300698103226e+01 2.265265507594441630e+01 2.327765890208698352e+01 2.335099157495397293e+01
2.322227456924126443e+01 2.265136731570050443e+01 2.328517662429235457e+01 2.337383415104778805e+01
