# Trajectories to test the save_data() function.
# Calculation scheme is force.
# Timestep is 150 seconds.
# Trajectories calculated for a 5 x 5 grid of parcels between41, -72 and 42, -71.
1.164900402222460762e+01 1.364000952714517467e+01 1.279638847526132572e+01 1.503796224499763134e+01
1.164850800898729233e+01 1.363962920307058369e+01 1.279594048490728397e+01 1.503762006424436137e+01
1.164977070562250105e+01 1.364083836031150909e+01 1.279898017405091792e+01 1.504616741969232052e+01
1.165259001851617171e+01 1.364365950359229274e+01 1.280538384166478139e+01 1.506239999426253462e+01
1.165676849856621899e+01 1.364811103178578477e+01 1.281502489903205166e+01 1.508512985109623550e+01
1.166211319722041395e+01 1.365420726527797157e+01 1.282777383696515017e+01 1.511318363102764906e+01
1.166805282714854997e+01 1.366195847127276508e+01 1.284349408896533262e+01 1.514540108548695940e+01
1.167415818129179428e+01 1.367131173671659106e+01 1.286140521864398778e+01 1.518063393443942033e+01
1.168030421282807829e+01 1.368204006016490482e+01 1.288157754016929246e+01 1.521673975046188332e+01
1.168637104088867318e+01 1.369413707841288641e+01 1.290407408285042301e+01 1.525215557697629443e+01
1.169226488166410860e+01 1.370759563542834769e+01 1.292895070492338050e+01 1.528686404987985448e+01
1.169802416525228494e+01 1.372240779644933184e+01 1.295626684917899496e+01 1.531878945122732105e+01
1.170358485834427853e+01 1.373866917509949559e+01 1.298695746443692300e+01 1.534813171624362482e+01
1.170888869203428939e+01 1.375641520511156024e+01 1.302123133270434785e+01 1.537546401886638137e+01
1.171376707611261025e+01 1.377566050446708701e+01 1.305868647891968060e+01 1.540135414497210142e+01
1.171849832370278399e+01 1.379637191694853016e+01 1.309892871421012828e+01 1.542714608959251876e+01
1.172320480575477752e+01 1.381851719067767092e+01 1.314154192041420366e+01 1.545351401801190860e+01
1.172789838221583381e+01 1.384206496463927394e+01 1.318522181784939740e+01 1.548105534828404295e+01
1.173259303907691731e+01 1.386698475569006916e+01 1.322974699922753317e+01 1.551036156045944381e+01
1.173748437858917626e+01 1.389312352635566228e+01 1.327490095294071537e+01 1.554201834356409506e+01
1.174305374587656026e+01 1.392037597057298726e+01 1.332047200376999996e+01 1.557720440499869241e+01
1.174935742937250005e+01 1.394870337318617537e+01 1.336622583769102235e+01 1.561516732916757988e+01
1.175645200830089721e+01 1.397807771143045485e+01 1.341155325834468570e+01 1.565484076979086225e+01
