# Calculation scheme is friction.
# Timestep is 60 seconds.
# Trajectories calculated for a 5 x 5 grid of parcels between 41, -72 and 42, -71.
1.164900402222460762e+01 1.364000952714517467e+01 1.279638847526132572e+01 1.503796224499763134e+01
1.164879985340058965e+01 1.363985062993046782e+01 1.279620295614433445e+01 1.503781792192462952e+01
1.164887156792141099e+01 1.363993689092326989e+01 1.279656530984359364e+01 1.503907578457924288e+01
1.164920735400874285e+01 1.364026954411782100e+01 1.279746809596107759e+01 1.504166257016144570e+01
1.164979551303541072e+01 1.364084971901056242e+01 1.279890381730398019e+01 1.504550551714079099e+01
1.165062445790325718e+01 1.364167844095631388e+01 1.280086491967460383e+01 1.505053234363159298e+01
1.165168271146851353e+01 1.364275663151598295e+01 1.280334379165563519e+01 1.505667122713199824e+01
1.165295890501355913e+01 1.364408510879572844e+01 1.280633276439129986e+01 1.506385078560497170e+01
1.165444177676399917e+01 1.364566458777750313e+01 1.280982411136494648e+01 1.507200005988022440e+01
1.165612017044999327e+01 1.364749568064092600e+01 1.281381004817357550e+01 1.508104849735708797e+01
1.165798303391077972e+01 1.364957889707640781e+01 1.281828273229983495e+01 1.509092593698912665e+01
1.166001941774140782e+01 1.365191464458948900e+01 1.282323426288203194e+01 1.510156259553215818e+01
1.166221847398064071e+01 1.365450322879635081e+01 1.282865668048267160e+01 1.511288905503799995e+01
1.166447012012103102e+01 1.365734485371044826e+01 1.283454196685608295e+01 1.512483625157700651e+01
1.166675858815777822e+01 1.366043962202023820e+01 1.284082366648493689e+01 1.513733546517297590e+01
1.166907604158644141e+01 1.366378753535797941e+01 1.284744586485418694e+01 1.515031831093462955e+01
1.167141477207852596e+01 1.366736411290576392e+01 1.285441010533546091e+01 1.516371673136827170e+01
1.167376719873398372e+01 1.367114651613754717e+01 1.286171774739387885e+01 1.517746298985672482e+01
1.167612586735402047e+01 1.367513430554252452e+01 1.286936996765912511e+01 1.519126853135862731e+01
1.167848344973338470e+01 1.367932702520976562e+01 1.287736776098240732e+01 1.520498991356365615e+01
1.168083274297131524e+01 1.368372420299657222e+01 1.288571194147847443e+01 1.521862984704400645e+01
1.168316666880036614e+01 1.368832535069482681e+01 1.289440314355195838e+01 1.523219101633171846e+01
1.168547827293231833e+01 1.369312996419535544e+01 1.290344182290729869e+01 1.524567607974763916e+01
1.168776072442043379e+01 1.369813752365032400e+01 1.291282825754151276e+01 1.525908766923055992e+01
1.169002848573455466e+01 1.370334749363366100e+01 1.292256254871916710e+01 1.527236758621849333e+01
1.169227963561607453e+01 1.370875932329955837e+01 1.293264462192883713e+01 1.528515882099733147e+01
1.169450902267538694e+01 1.371437244653902710e+01 1.294307899703524001e+01 1.529749524318939002e+01
1.169671164746430847e+01 1.372019228297231841e+01 1.295398808852279871e+01 1.530941058529453613e+01
1.169888266219976103e+01 1.372623155663060857e+01 1.296537882731373514e+01 1.532093843990717019e+01
1.170101737049366264e+01 1.373248708262814688e+01 1.297734732988109840e+01 1.533211225723757209e+01
1.170311122708857710e+01 1.373895697999014409e+01 1.298986808059259701e+01 1.534296534293428316e+01
1.170515983759864653e+01 1.374566159213373240e+01 1.300291577633618090e+01 1.535353085620412372e+01
1.170714325287178781e+01 1.375259935153944824e+01 1.301646532324501138e+01 1.536384180822646783e+01
1.170905852733397090e+01 1.375976871464610163e+01 1.303049183358313456e+01 1.537393106085831818e+01
1.171090606931847944e+01 1.376716816171906466e+01 1.304497062278813679e+01 1.538386104197831372e+01
1.171273827498368902e+01 1.377479619672010358e+01 1.305987720666709073e+01 1.539373664983686751e+01
1.171456925627221679e+01 1.378265134717873508e+01 1.307518729874220220e+01 1.540359808655187202e+01
1.171639962501976129e+01 1.379073216406507640e+01 1.309087680774261386e+01 1.541348537518537043e+01
1.171823005360390724e+01 1.379903722166415747e+01 1.310692183523886989e+01 1.542343836024379122e+01
1.172006127500859307e+01 1.380756511745168069e+01 1.312321798346852120e+01 1.543349670840160215e+01
1.172189408288832091e+01 1.381631447197119122e+01 1.313969082991905779e+01 1.544369990944479554e+01
1.172372933163212139e+01 1.382528392871264700e+01 1.315632573251126125e+01 1.545408727743062194e+01
1.172556793642728579e+01 1.383447215399234409e+01 1.317310816816147678e+01 1.546469795206006381e+01
1.172741087332285304e+01 1.384387783683419570e+01 1.319002373190330601e+01 1.547557090025955873e+01
1.172925917929288175e+01 1.385349968885231675e+01 1.320705813605173873e+01 1.548674491796852948e+01
1.173111395229951270e+01 1.386331547126331465e+01 1.322419720940845167e+01 1.549825863212934607e+01
1.173305434045714435e+01 1.387330985572173248e+01 1.324142689650696703e+01 1.551015050287634978e+01
1.173511114345256168e+01 1.388348077157927385e+01 1.325873325689644311e+01 1.552254164820217497e+01
1.173728619129853357e+01 1.389382611176087323e+01 1.327610246446284492e+01 1.553549189907218953e+01
1.173958132406518828e+01 1.390434373265632217e+01 1.329352080678627068e+01 1.554897897493543546e+01
1.174199839214425012e+01 1.391503145401070007e+01 1.331097468453326549e+01 1.556297089587570071e+01
1.174453925651581443e+01 1.392588705881367162e+01 1.332843778264943424e+01 1.557719748000872961e+01
1.174720578901773038e+01 1.393690829318772373e+01 1.334583599242135499e+01 1.559165718013768753e+01
1.174999987261765533e+01 1.394808996151191138e+01 1.336316505084532480e+01 1.560634846753585059e+01
1.175292340168790162e+01 1.395942847741901893e+01 1.338042079993294919e+01 1.562126983188687213e+01
1.175597828228312380e+01 1.397092159417609913e+01 1.339757401566766681e+01 1.563641978122384657e+01
1.175916643242095105e+01 1.398256706112356085e+01 1.341460233442708372e+01 1.565179684186720976e+01
1.176251171528211970e+01 1.399436262365122197e+01 1.343150833196643390e+01 1.566739955836153086e+01
1.176602786527020328e+01 1.400630602317424334e+01 1.344829468726615929e+01 1.568322649341123487e+01
1.176971773565093926e+01 1.401839242411756281e+01 1.346496418222384150e+01 1.569927622781530197e+01
1.177358416147632880e+01 1.403060784972974595e+01 1.348151970134227895e+01 1.571554736040097211e+01
1.177762995989008132e+01 1.404294814688082838e+01 1.349796423141388857e+01 1.573203850795652770e+01
1.178188160720666389e+01 1.405540924497591071e+01 1.351430086120161178e+01 1.574874830516316848e+01
1.178636209236125154e+01 1.406798715569379077e+01 1.353053278111650215e+01 1.576567540452603566e+01
1.179107487349605776e+01 1.408067797273383448e+01 1.354663963960817341e+01 1.578281847630443480e+01
1.179602341486374861e+01 1.409347787157078358e+01 1.356261721200491266e+01 1.580017620844127890e+01
1.180121118711821993e+01 1.410638310921723715e+01 1.357846801444526363e+01 1.581774730649180682e+01
1.180664166760775657e+01 1.411939002399349263e+01 1.359419460278212455e+01 1.583555289381680353e+01
1.181231816455058414e+01 1.413249503530451001e+01 1.360979957233134030e+01 1.585359297103999765e+01
1.181824265212310898e+01 1.414569464342369898e+01 1.362528555761901927e+01 1.587187016865708067e+01
1.182441677743685204e+01 1.415898542928329107e+01 1.364065523212765640e+01 1.589040033574539734e+01
1.183084207316422543e+01 1.417236405427100721e+01 1.365591130804115139e+01 1.590917759877347848e+01
