# Trajectories to test the save_data() function.
# Calculation scheme is grid.
# Timestep is 180 seconds.
# Trajectories calculated for a 5 x 5 grid of parcels between41, -72 and 42, -71.
1.164900402222460762e+01 1.364000952714517467e+01 1.279638847526132572e+01 1.503796224499763134e+01
2.623604775805626588e+01 2.515810156731748748e+01 2.653138807385724718e+01 2.695474932777209176e+01
2.611494481236140786e+01 2.507247592353721188e+01 2.640171591754498692e+01 2.686280203466712635e+01
2.600825896263232195e+01 2.498507079386588714e+01 2.628663503902044241e+01 2.676809301125371121e+01
2.590660820712537671e+01 2.489653284485370222e+01 2.618614790380402724e+01 2.667007961983606990e+01
2.578981980559824194e+01 2.480648876672726999e+01 2.609350391390802670e+01 2.657020372976472444e+01
2.565038456233858710e+01 2.471443894580510303e+01 2.600442410107531543e+01 2.647764303345539716e+01
2.549712940727331301e+01 2.462072725057161904e+01 2.592244444246453838e+01 2.639722481587285330e+01
2.533207537852695168e+01 2.452548770949540824e+01 2.584028839301309688e+01 2.632577180754704926e+01
2.516775981547760921e+01 2.442879872310739486e+01 2.575786296681403797e+01 2.624467070406353031e+01
2.501075978722013815e+01 2.433640715655695175e+01 2.566939446537109859e+01 2.614102925611499018e+01
2.485214459127373487e+01 2.425305224103949087e+01 2.555428100102552236e+01 2.603454726313208312e+01
2.469609583804019337e+01 2.417320045250718152e+01 2.542782114811889116e+01 2.593824380287860265e+01
2.454638932675718621e+01 2.409215496994583816e+01 2.531363217593986548e+01 2.584006048281219137e+01
2.439796324689880791e+01 2.400994129504985608e+01 2.519798035212553344e+01 2.573153314170356509e+01
2.423234643840621061e+01 2.392168496562633351e+01 2.506941070258286430e+01 2.562325775879760670e+01
2.406068509345062623e+01 2.382873388505416301e+01 2.493822784094518497e+01 2.552137688496103962e+01
2.391079160901819023e+01 2.374255838515112060e+01 2.480355365255762123e+01 2.542128263763418516e+01
2.378426286665798628e+01 2.366194437731408229e+01 2.466209210478471903e+01 2.532487918604871879e+01
2.367690636602080900e+01 2.358055995368525259e+01 2.451128471987148316e+01 2.523359506931955565e+01
2.358258744060237433e+01 2.349928021037362669e+01 2.435227354351543028e+01 2.513819109017585873e+01
2.350352971948102265e+01 2.342227790041179958e+01 2.419645359806265006e+01 2.503771189124550034e+01
2.344373531727138982e+01 2.335300116754620348e+01 2.405211391032479540e+01 2.494148889940612790e+01
2.339236849933684326e+01 2.329156789203634048e+01 2.391829482088309078e+01 2.483779724328578453e+01
2.333902626641116029e+01 2.323783853131658006e+01 2.378546572946226689e+01 2.470771102145661047e+01
2.328473124076664647e+01 2.318045507111387593e+01 2.366190274048532416e+01 2.457059185740598650e+01
2.325105437119766805e+01 2.311246648667365378e+01 2.355946861597129782e+01 2.444915284117723075e+01
2.324677258119662682e+01 2.304497252985993683e+01 2.347234181083099713e+01 2.433883870774062785e+01
2.325648563069920982e+01 2.298462100102997496e+01 2.339355080179053203e+01 2.422644906192119052e+01
2.326984200030255678e+01 2.293090615536182497e+01 2.332719646804855529e+01 2.411131481957289679e+01
2.326953726067078065e+01 2.288169236613633473e+01 2.328035461897953340e+01 2.400210767384724164e+01
2.325538789378786575e+01 2.283395970366171213e+01 2.325054327685761990e+01 2.389622765498066670e+01
2.324144829756334829e+01 2.278975529797023825e+01 2.322867607423772540e+01 2.379205091749518530e+01
2.323508299998853843e+01 2.275201505462925411e+01 2.321119068856683043e+01 2.368343529492262434e+01
2.324205379373773894e+01 2.272521151728435385e+01 2.318937622740283189e+01 2.358419531082738985e+01
2.323981150408457097e+01 2.271266093599961167e+01 2.316992329245147175e+01 2.350959371131290965e+01
2.322106759506745277e+01 2.270737751658817771e+01 2.316843932293133790e+01 2.345311703656850355e+01
2.320939290379201481e+01 2.270518139541075087e+01 2.318170954143267082e+01 2.341245642268501115e+01
2.320106133993580499e+01 2.270235093141615579e+01 2.319500363955224032e+01 2.337725964119627520e+01
2.318883848403052639e+01 2.269700859246647084e+01 2.319067508643239250e+01 2.334729287170229384e+01
2.317440405314383867e+01 2.269229907253070166e+01 2.317630009864147667e+01 2.332789622506996707e+01
2.316929838465003044e+01 2.268609482557299373e+01 2.317446784422058670e+01 2.331167453531402245e+01
2.317650392169895923e+01 2.267781920565119336e+01 2.318608060857301467e+01 2.329664203717614868e+01
2.318361655472968863e+01 2.266988669043882609e+01 2.320211310601407817e+01 2.328859843078537750e+01
2.318926431835999580e+01 2.266247631330853807e+01 2.322488069123602017e+01 2.329734577748248370e+01
2.320215368860975147e+01 2.265625090872342184e+01 2.325264448185744115e+01 2.332376052365705377e+01
2.321810176341620746e+01 2.265266087732193157e+01 2.327490768439873392e+01 2.336103008101643042e+01
2.323364950757158454e+01 2.265030014757033427e+01 2.328215227561651091e+01 2.339913076229397859e+01
2.326322275721902599e+01 2.264843061986033135e+01 2.328859533405180571e+01 2.342594635244093837e+01
2.330456467302899881e+01 2.264778346406665577e+01 2.330850450475300306e+01 2.343797735420211126e+01
2.334530495243379988e+01 2.264883493660072489e+01 2.333396749659383218e+01 2.343786154147160872e+01
2.337544949389472393e+01 2.266205048312384207e+01 2.337181901961333352e+01 2.343995976323418517e+01
2.340307638143488589e+01 2.267989194815038445e+01 2.341718115765403851e+01 2.345550354888808542e+01
2.344362645147531765e+01 2.269304412593001530e+01 2.345748921119108132e+01 2.346586086853979936e+01
2.349949151709469675e+01 2.270915372930934240e+01 2.349800608853079709e+01 2.346280567002444073e+01
2.355867006020755028e+01 2.272775241833344850e+01 2.352569615028285455e+01 2.346538459656589026e+01
2.360091736367428084e+01 2.274904324072031159e+01 2.354772025562170512e+01 2.347305505393338620e+01
2.362538845180274905e+01 2.278268702144932689e+01 2.358454595969934786e+01 2.347833261132446125e+01
2.366011213039159244e+01 2.283464301010751640e+01 2.363632911664737435e+01 2.348224406365415717e+01
2.371052443868907034e+01 2.289593333380903317e+01 2.370348414055932551e+01 2.349158823861432666e+01
2.376014501492069542e+01 2.295380682781910053e+01 2.375639028346995829e+01 2.351105841134027941e+01
2.378144577686688166e+01 2.297670855359914199e+01 2.374212608287199089e+01 2.349783796544787862e+01
2.377607879001211089e+01 2.297037225310915787e+01 2.369229760269364249e+01 2.344678242427255555e+01
2.377663683509142700e+01 2.297066297357209663e+01 2.366599775196208100e+01 2.340042352904053757e+01
2.379186165412794907e+01 2.298782855266992797e+01 2.365596036889949971e+01 2.335955236709393645e+01
2.382428647488073281e+01 2.301591704071829270e+01 2.364466948230182197e+01 2.332376096934862630e+01
2.385980548837126847e+01 2.304261873001471628e+01 2.363269262369349377e+01 2.330110718431030392e+01
2.387971096718661101e+01 2.305622113209630797e+01 2.363114951601674818e+01 2.329242032793601425e+01
2.389011354290103384e+01 2.305736640904540025e+01 2.363318472877642762e+01 2.328421485080711761e+01
2.390230001771060131e+01 2.306368951877582418e+01 2.363367790649895994e+01 2.326361989289564391e+01
2.391720435646799103e+01 2.307915507956245449e+01 2.364068769423877114e+01 2.323959485166709982e+01
2.393979001405856621e+01 2.309303875929292005e+01 2.365565559435365017e+01 2.322674061722458561e+01
2.397614214868572446e+01 2.309837085353080255e+01 2.368163807921962061e+01 2.322788171173498739e+01
2.402155423974733139e+01 2.310945350608727011e+01 2.371747131201244230e+01 2.323914583804318923e+01
2.406762180999052703e+01 2.313602436897148351e+01 2.375313493775648155e+01 2.324638174447937189e+01
2.411324005865128584e+01 2.317148379409287884e+01 2.378793999996519659e+01 2.323911292739169809e+01
2.416035383712005213e+01 2.320764126232562319e+01 2.381567875590373973e+01 2.322836520770476199e+01
2.421152720566058392e+01 2.324197418838559770e+01 2.383925858967961631e+01 2.322972971253139818e+01
2.426659862737106010e+01 2.327902016964083742e+01 2.387190224477457434e+01 2.324218337712019178e+01
2.432917050263261061e+01 2.330846562380484244e+01 2.390161701760243318e+01 2.325752472522447079e+01
2.439412105919346629e+01 2.332663731092690185e+01 2.393513884000211434e+01 2.327581734625360710e+01
2.445774504504038660e+01 2.334469490282170057e+01 2.398022843391676417e+01 2.329705786568699466e+01
2.452749789196122521e+01 2.336685562783254255e+01 2.401947640757523317e+01 2.332231712489925357e+01
2.461374645335396849e+01 2.339587381471358896e+01 2.405504480243285315e+01 2.335761317296997674e+01
2.471292268013513649e+01 2.343338200602176613e+01 2.410670856233416615e+01 2.340770712276768961e+01
2.481235652097826971e+01 2.347466868869920731e+01 2.418415949048621627e+01 2.346165256491477891e+01
2.491274251571104159e+01 2.351505923055531255e+01 2.427756090748378170e+01 2.350474281226680517e+01
2.502079177482058725e+01 2.355760456012394854e+01 2.436539424253265906e+01 2.354197227827384609e+01
2.513300036479238031e+01 2.360360248589662291e+01 2.444894835521795784e+01 2.358059379559957236e+01
2.524411002527052261e+01 2.364653324008762780e+01 2.454193691555499157e+01 2.362177566177707178e+01
2.536300121427125731e+01 2.368461693902162679e+01 2.464411459592148290e+01 2.366850010915601743e+01
2.548070042799534463e+01 2.372856115343009265e+01 2.475199131656638940e+01 2.371458193194074582e+01
2.558390398733102700e+01 2.378308717401755956e+01 2.485757708563773605e+01 2.376088903108705352e+01
2.567823874099502035e+01 2.384188488614039159e+01 2.496229199605148352e+01 2.381485562353681473e+01
2.577482340462773891e+01 2.389911468681588502e+01 2.507316039537896302e+01 2.386918463613042718e+01
2.587903113637636920e+01 2.395163953874640228e+01 2.519122329804750393e+01 2.392195760940577998e+01
2.598913943788819481e+01 2.400890514996588365e+01 2.531699642173468590e+01 2.397268582639430434e+01
2.608324365594414473e+01 2.407908729782087676e+01 2.544928589758801607e+01 2.403112969371470342e+01
2.615864986139092707e+01 2.415246855706443796e+01 2.558974984565021771e+01 2.410578310606578611e+01
2.623616949300404144e+01 2.422260919149429270e+01 2.573487996694678515e+01 2.418797616468540923e+01
2.630479320512669972e+01 2.428973791877656652e+01 2.587642062556878741e+01 2.426992215752701298e+01
2.637151476918677417e+01 2.434816522554389806e+01 2.601794554055454256e+01 2.435443953010425844e+01
2.645337030177503124e+01 2.440569423229565160e+01 2.616187739072745444e+01 2.444942640933411582e+01
2.651514416330734747e+01 2.447447642889332542e+01 2.629811352188070828e+01 2.455401425495458767e+01
2.655748118357514187e+01 2.454907272788529582e+01 2.642403353936771637e+01 2.466437857035946735e+01
2.661220432374830835e+01 2.462434252139507151e+01 2.655182375283834517e+01 2.477424711761714349e+01
2.666757205195611391e+01 2.470068890611384660e+01 2.667738483815166717e+01 2.487582751301297179e+01
2.671865314067883546e+01 2.476693121362450256e+01 2.679486673768726490e+01 2.497137487449477078e+01
2.677268546457096932e+01 2.482304371356118367e+01 2.691648970757167092e+01 2.507205402045471487e+01
2.682811048237012841e+01 2.488180465035391720e+01 2.702370098876664173e+01 2.518126524936699440e+01
2.688183553523119329e+01 2.494793746528779366e+01 2.712362881861442077e+01 2.530151225171681517e+01
2.693323278552101385e+01 2.502376823021077712e+01 2.723252255829110879e+01 2.542163956072177200e+01
2.698586846279836138e+01 2.510142499254829573e+01 2.731070713685026163e+01 2.551307600824262067e+01
2.704241793184440468e+01 2.516756313577312909e+01 2.737622751004825261e+01 2.558849615240029962e+01
2.709703591216056395e+01 2.522252316627488256e+01 2.745901816974765808e+01 2.567754089584569144e+01
2.714894800885461024e+01 2.527668290424251296e+01 2.753354959278030378e+01 2.577864460585838202e+01
2.720820937355361480e+01 2.532557675967508004e+01 2.760282500051318522e+01 2.588424715703020240e+01
2.726445453561974830e+01 2.536664911120640653e+01 2.768358002147173380e+01 2.598173571609516230e+01
2.729312547502817665e+01 2.541329744339370222e+01 2.776972664494255127e+01 2.606171240713166526e+01
2.731115064445079810e+01 2.547056874991892528e+01 2.785611930303254269e+01 2.613222578469557078e+01
2.733789729929022627e+01 2.552587937881215296e+01 2.794286103704823176e+01 2.620059658473928366e+01
2.736481834732745355e+01 2.556397348090688482e+01 2.803804096458996753e+01 2.626271929687232642e+01
2.739102077626495202e+01 2.559965194892854612e+01 2.813612675957655185e+01 2.632000432211411223e+01
2.741926773644271265e+01 2.564702250496725355e+01 2.821025394101518913e+01 2.637180134822717292e+01
2.745020811406655525e+01 2.569175016018518676e+01 2.827515121621536665e+01 2.642207933350069737e+01
2.748449349369416694e+01 2.572800277940406488e+01 2.835721755637915464e+01 2.648313971995689897e+01
2.751675577373401183e+01 2.577280643651135605e+01 2.844442736316386799e+01 2.654654851484668754e+01
